年,月,樣區編號,樣站編號,名稱,數量,棲地類型,科名
2018,11,E,E1,黃頭鷺,5,岸邊,鷺科
2018,11,F,F2,小白鷺,4,草叢,鷺科
2018,11,F,F2,小白鷺,3,岸邊,鷺科
2018,11,F,F2,黃頭鷺,2,岸邊,鷺科
2018,11,F,F2,夜鷺,3,岸邊,鷺科
2018,11,F,F2,夜鷺,1,岸邊,鷺科
2018,11,F,F1,小白鷺,2,草叢,鷺科
2018,11,D,D2,黃頭鷺,35,樹上,鷺科
2018,11,D,D2,高蹺鴴,80,草叢,長腳鷸科
2018,11,D,D2,小青足鷸,2,草叢,鷸科
2018,11,D,D2,小白鷺,2,草叢,鷺科
2018,11,D,D1,蒼鷺,350,草叢,鷺科
2018,11,D,D1,蒼鷺,49,岸邊,鷺科
2018,11,D,D1,大白鷺,50,草叢,鷺科
2018,11,D,D1,大白鷺,14,岸邊,鷺科
2018,11,D,D1,小白鷺,3,草叢,鷺科
2018,11,D,D3,黑尾鷸,1,草叢,鷸科
2018,11,D,D3,黑面琵鷺,31,草叢,䴉科
2018,11,D,D3,大白鷺,20,草叢,鷺科
2018,11,D,D3,大白鷺,7,岸邊,鷺科
2018,11,D,D3,蒼鷺,3,草叢,鷺科
2018,11,D,D3,蒼鷺,3,岸邊,鷺科
2018,11,D,D3,小白鷺,60,草叢,鷺科
2018,11,D,D3,小白鷺,22,岸邊,鷺科
2018,11,A,A1,埃及聖䴉,70,岸邊,䴉科
2018,11,A,A1,黑面琵鷺,7,草叢,䴉科
2018,11,A,A1,蒼鷺,30,草叢,鷺科
2018,11,A,A1,蒼鷺,150,岸邊,鷺科
2018,11,A,A1,大白鷺,350,草叢,鷺科
2018,11,A,A1,大白鷺,250,岸邊,鷺科
2018,11,A,A1,小白鷺,860,草叢,鷺科
2018,11,A,A1,小白鷺,500,岸邊,鷺科
2018,11,A,A2,埃及聖䴉,120,岸邊,䴉科
2018,11,A,A2,黑面琵鷺,2,草叢,䴉科
2018,11,A,A2,蒼鷺,100,草叢,鷺科
2018,11,A,A2,蒼鷺,250,岸邊,鷺科
2018,11,A,A2,大白鷺,30,草叢,鷺科
2018,11,A,A2,大白鷺,20,岸邊,鷺科
2018,11,A,A2,小白鷺,300,草叢,鷺科
2018,11,A,A2,小白鷺,550,岸邊,鷺科
2018,11,B,B,黑面琵鷺,2,草叢,䴉科
2018,11,B,B,小白鷺,20,草叢,鷺科
2018,11,B,B,小白鷺,5,岸邊,鷺科
2018,11,B,B,大白鷺,15,草叢,鷺科
2018,11,B,B,大白鷺,10,岸邊,鷺科
2018,11,C,C,埃及聖䴉,2,草叢,䴉科
2018,11,C,C,大白鷺,10,岸邊,鷺科
2018,11,C,C,大白鷺,3,草叢,鷺科
2018,11,C,C,小白鷺,25,草叢,鷺科
2018,11,C,C,小白鷺,10,岸邊,鷺科
2018,11,E,E1,青足鷸,8,岸邊,鷸科
2018,11,E,E1,小青足鷸,40,草叢,鷸科
2018,11,E,E1,小青足鷸,10,岸邊,鷸科
2018,11,E,E1,東方環頸鴴,100,草叢,鴴科
2018,11,E,E1,東方環頸鴴,20,岸邊,鴴科
2018,11,E,E1,黑腹濱鷸,100,草叢,鷸科
2018,11,E,E1,黑腹濱鷸,30,岸邊,鷸科
2018,11,E,E1,太平洋金斑鴴,25,草叢,鴴科
2018,11,E,E1,埃及聖䴉,22,岸邊,䴉科
2018,11,E,E1,小水鴨,18,水域,雁鴨科
2018,11,E,E1,蒼鷺,2,岸邊,鷺科
2018,11,E,E1,大白鷺,2,岸邊,鷺科
2018,11,E,E1,東方黃鶺鴒,2,岸邊,鶺鴒科
2018,11,E,E1,洋燕,10,天空,燕科
2018,11,E,E1,高蹺鴴,18,草叢,長腳鷸科
2018,11,E,E1,紅胸濱鷸,90,草叢,鷸科
2018,11,E,E1,小白鷺,5,草叢,鷺科
2018,11,E,E2,青足鷸,40,草叢,鷸科
2018,11,E,E2,青足鷸,30,岸邊,鷸科
2018,11,E,E2,小青足鷸,23,草叢,鷸科
2018,11,E,E2,小青足鷸,40,岸邊,鷸科
2018,11,E,E2,夜鷺,89,草叢,鷺科
2018,11,E,E2,東方環頸鴴,90,草叢,鴴科
2018,11,E,E2,黑腹濱鷸,40,草叢,鷸科
2018,11,E,E2,太平洋金斑鴴,5,草叢,鴴科
2018,11,E,E2,埃及聖䴉,50,草叢,䴉科
2018,11,E,E2,埃及聖䴉,34,岸邊,䴉科
2018,11,E,E2,小水鴨,35,水域,雁鴨科
2018,11,E,E2,蒼鷺,20,草叢,鷺科
2018,11,E,E2,蒼鷺,42,岸邊,鷺科
2018,11,E,E2,大白鷺,89,草叢,鷺科
2018,11,E,E2,大白鷺,30,草叢,鷺科
2018,11,E,E2,高蹺鴴,150,岸邊,長腳鷸科
2018,11,E,E2,反嘴鴴,69,草叢,長腳鷸科
2018,11,E,E2,黑面琵鷺,6,岸邊,䴉科
2018,11,E,E2,黑面琵鷺,2,草叢,䴉科
2018,11,E,E2,白琵鷺,1,草叢,䴉科
2018,11,E,E2,小白鷺,50,草叢,鷺科
2018,11,E,E2,小白鷺,20,岸邊,鷺科
2018,11,E,E2,黃頭鷺,6,草叢,鷺科
2018,11,E,E2,黃頭鷺,3,岸邊,鷺科
2018,11,E,E2,流蘇鷸,9,草叢,鷸科
2018,10,D,D1,黑面琵鷺,30,岸邊,䴉科
2018,10,D,D1,黑面琵鷺,12,草叢,䴉科
2018,10,D,D1,高蹺鴴,10,岸邊,長腳鷸科
2018,10,D,D1,高蹺鴴,60,水域,長腳鷸科
2018,10,D,D1,高蹺鴴,32,草叢,長腳鷸科
2018,10,D,D1,蒼鷺,120,岸邊,鷺科
2018,10,D,D1,蒼鷺,60,水域,鷺科
2018,10,D,D1,蒼鷺,24,草叢,鷺科
2018,10,D,D1,小白鷺,6,岸邊,鷺科
2018,10,D,D1,小白鷺,6,水域,鷺科
2018,10,D,D1,大白鷺,14,岸邊,鷺科
2018,10,D,D1,大白鷺,30,水域,鷺科
2018,10,D,D1,大白鷺,10,草叢,鷺科
